City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,tindouf,27.6711,-8.1474,82.29,14,100,9.35,DZ,1682472899
208,pisco,-13.7,-76.2167,71.65,83,0,12.66,PE,1682472670
209,mont-dore,-22.2833,166.5833,80.58,99,100,3.24,NC,1682472899
210,isangel,-19.55,169.2667,87.91,70,75,4.61,VU,1682472899
211,port augusta,-32.5,137.7667,80.13,31,100,23.2,AU,1682472688
212,bumba,2.1833,22.4667,71.62,98,100,6.4,CD,1682472900
213,holbrook,40.8123,-73.0784,53.24,73,75,1.01,US,1682472900
214,binji,13.2228,4.9096,85.68,18,14,3.89,NG,1682472900
215,saynshand,44.8824,110.1163,50.54,26,100,13.18,MN,1682472901
216,lejanias,3.5251,-74.0216,70.18,95,98,3.4,CO,1682472901
217,onega,63.9061,38.1404,33.49,95,98,8.93,RU,1682472901
218,les cayes,18.2,-73.75,74.79,80,20,3.15,HT,1682472901
219,selfoss,63.9331,-20.9971,31.05,65,80,5.93,IS,1682472902
220,college,64.8569,-147.8028,40.95,41,20,10.36,US,1682472903
221,howrah,22.5892,88.3103,82.4,74,40,0.0,IN,1682472903
222,lake city,30.1897,-82.6393,69.85,94,0,0.0,US,1682472903
223,geraldton,-28.7667,114.6,68.41,64,75,16.11,AU,1682472652
224,cockburn town,21.4612,-71.1419,77.88,77,72,11.45,TC,1682472905
225,kitimat,54.0524,-128.6534,48.58,46,100,1.57,CA,1682472906
226,bodo,67.28,14.405,32.04,86,75,6.91,NO,1682472906
227,los angeles,34.0522,-118.2437,74.21,69,0,12.66,US,1682472339
228,nioki,-2.7167,17.6833,71.26,97,80,1.74,CD,1682472906
229,mar del plata,-38.0023,-57.5575,65.08,97,100,8.05,AR,1682472907
230,laja,-37.2667,-72.7,54.97,74,100,2.06,CL,1682472748
231,aasiaat,68.7098,-52.8699,31.69,99,100,7.31,GL,1682472907
232,port lincoln,-34.7333,135.8667,75.02,46,100,19.62,AU,1682472908
233,cabedelo,-6.9811,-34.8339,79.47,86,100,8.25,BR,1682472908
234,kandahar,31.0,65.75,70.92,22,100,2.73,AF,1682472908
235,san luis,-33.295,-66.3356,60.94,60,78,5.28,AR,1682472909
236,talnakh,69.4865,88.3972,31.21,85,100,1.32,RU,1682472909
237,nemuro,43.3236,145.575,41.99,88,100,30.65,JP,1682472909
238,ola,59.5833,151.2833,34.11,76,74,1.59,RU,1682472909
239,mangaratiba,-22.9597,-44.0406,70.66,83,5,3.76,BR,1682472909
240,petrovsk-zabaykal'skiy,51.273,108.843,49.51,32,75,6.24,RU,1682472910
241,anadyr,64.75,177.4833,23.5,53,0,15.66,RU,1682472910
242,ponta delgada,37.7333,-25.6667,63.32,100,75,6.91,PT,1682472910
243,saldanha,-33.0117,17.9442,53.65,80,100,6.4,ZA,1682472911
244,sarakhs,36.5449,61.1577,71.01,21,12,2.13,IR,1682472911
245,isafjordur,66.0755,-23.124,28.51,63,4,5.26,IS,1682472911
246,olonkinbyen,70.9221,-8.7187,25.52,69,100,12.57,SJ,1682472911
247,kirillov,59.863,38.3813,46.2,77,100,3.78,RU,1682472911
248,klaksvik,62.2266,-6.589,32.92,58,99,20.31,FO,1682472912
249,kapuskasing,49.4169,-82.4331,30.29,93,100,8.05,CA,1682472912
250,belmonte,-15.8631,-38.8828,74.75,88,7,4.65,BR,1682472912
251,valparaiso,-33.0393,-71.6273,60.01,64,75,4.61,CL,1682472912
252,praya,14.9215,-23.5087,72.14,78,20,16.11,CV,1682472913
253,afaahiti,-17.75,-149.2833,82.06,83,100,12.21,PF,1682472913
254,borogontsy,62.6683,131.1683,33.91,91,99,7.63,RU,1682472913
255,poronaysk,49.2167,143.1167,37.72,76,100,14.25,RU,1682472913
256,ta`u,-14.2336,-169.5144,82.65,70,9,5.66,AS,1682472914
